Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Schedule Temperature [](TimeStep),EMS:Heating Schedule Temperature [](TimeStep),EMS:Cooling Setpoint Temperature [](TimeStep),EMS:Heating Setpoint Temperature [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),EMS:Heating Volume [](TimeStep),EMS:Cooling Volume [](TimeStep),EMS:Indoor Air Temperature [](TimeStep),EMS:Occupant Count [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/02  23:20:00,30.933333333333338,4413.286875749807,0.0,80.6,60.8,80.5447216504954,60.8552783495046,78.74872669312322,78.74872669312322,1.0,0.0,0.0,8644.0,78.74872669312322,0.0,0.000007452665309431456,48773.84402301494,0.0 
 07/02  23:25:00,30.891666666666667,0.0,0.0,80.6,60.8,80.53793175549797,60.86206824450204,79.27928502553815,79.27928502553815,0.0,0.0,0.0,0.0,79.27928502553815,0.0,0.000007463190965709418,48774.140458107686,0.0 
 07/02  23:30:00,30.85,0.0,0.0,80.6,60.8,80.5282926601877,60.87170733981229,79.70170386755635,79.70170386755635,0.0,0.0,0.0,0.0,79.70170386755635,0.0,0.000007474777303054212,48774.491646367525,0.0 
 07/02  23:35:00,30.808333333333335,0.0,0.0,80.6,60.8,80.56538004345717,60.834619956542827,80.05315637133902,80.05315637133902,0.0,0.0,0.0,0.0,80.05315637133902,0.0,5790.457412598897,54565.330671037045,0.0 
 07/02  23:40:00,30.766666666666667,1414.0305527948836,0.0,80.6,60.8,80.57690958291485,60.82309041708517,80.14979282329816,80.14979282329816,1.0,0.0,0.0,1260.0,80.14979282329816,0.0,5212.964299393904,53988.236428033415,0.0 
 07/02  23:45:00,30.725,2734.602364694765,0.0,80.6,60.8,80.54875131350778,60.85124868649223,80.31837345029865,80.31837345029865,1.0,0.0,0.0,1260.0,80.31837345029865,0.0,5170.696005661271,53946.376739866886,0.0 
 07/02  23:50:00,30.683333333333338,2692.3340709487417,0.0,80.6,60.8,80.54837555221406,60.851624447785969,80.4113696356695,80.4113696356695,1.0,0.0,0.0,1260.0,80.4113696356695,0.0,5154.252826564095,53930.34115798347,0.0 
 07/02  23:55:00,30.64166666666667,2675.8908918376889,0.0,80.6,60.8,80.53256131829588,60.867438681704147,80.47763661688399,80.47763661688399,1.0,0.0,0.0,1260.0,80.47763661688399,0.0,28130.81654418089,76907.30750920455,0.0 
 07/02  24:00:00,30.6,11692.313566433464,0.0,80.6,60.8,80.53107529541686,60.868924704583147,79.80228160632336,79.80228160632336,1.0,0.0,0.0,16740.0,79.80228160632336,0.0,27482.43462912737,76259.32128218588,0.0 
 07/03  00:05:00,30.5,11359.966184357034,0.0,80.6,60.8,80.52544325121207,60.87455674878794,79.19610340600974,79.19610340600974,1.0,0.0,0.0,16740.0,79.19610340600974,0.0,21859.093531271854,70635.537188599,0.0 
 07/03  00:10:00,30.400000000000003,9830.728607261415,0.0,80.6,60.8,80.52979581791682,60.8702041820832,78.85506495613962,78.85506495613962,1.0,0.0,0.0,15480.0,78.85506495613962,0.0,21538.674824300208,70314.65666349302,0.0 
 07/03  00:15:00,30.300000000000006,19479.716968162564,0.0,80.6,60.8,80.5175163786926,60.882483621307418,78.62104165063687,78.62104165063687,1.0,0.0,0.0,15480.0,78.62104165063687,0.0,21297.22116587296,70072.72848253687,0.0 
 07/03  00:20:00,30.200000000000004,19238.26330977263,0.0,80.6,60.8,80.52945827517907,60.87054172482094,78.507512082362,78.507512082362,1.0,0.0,0.0,15480.0,78.507512082362,0.0,21111.339521075555,69886.362592205,0.0 
 07/03  00:25:00,30.099999999999999,19052.381665003377,0.0,80.6,60.8,80.52572403522527,60.87427596477474,78.42272273532287,78.42272273532287,1.0,0.0,0.0,15480.0,78.42272273532287,0.0,9911.4605162132,58685.99265718416,0.0 
 07/03  00:30:00,30.0,4442.852419980912,0.0,80.6,60.8,80.50795376062036,60.89204623937965,78.64630302352754,78.64630302352754,1.0,0.0,0.0,8644.0,78.64630302352754,0.0,9733.339413943257,58507.37491957851,0.0 
 07/03  00:35:00,29.9,4349.738813377069,0.0,80.6,60.8,80.56165724585518,60.83834275414482,78.8049591836508,78.8049591836508,1.0,0.0,0.0,8644.0,78.8049591836508,0.0,11349.325232114483,60122.85751563785,0.0 
 07/03  00:40:00,29.799999999999998,4813.581873873799,0.0,80.6,60.8,80.55602653695158,60.843973463048438,78.90832097797522,78.90832097797522,1.0,0.0,1260.0,8644.0,78.90832097797522,0.0,14919.285706269042,63692.305697950345,0.0 
 07/03  00:45:00,29.699999999999997,5384.934008525246,0.0,80.6,60.8,80.55363250300711,60.8463674969929,78.93236345447986,78.93236345447986,1.0,0.0,0.0,9904.0,78.93236345447986,0.0,13978.576650223316,62751.074574320926,0.0 
 07/03  00:50:00,29.599999999999999,10524.543786302604,0.0,80.6,60.8,80.5381293939175,60.86187060608248,79.00119496768632,79.00119496768632,1.0,0.0,0.0,9904.0,79.00119496768632,0.0,13832.649397232313,62604.61447696507,0.0 
 07/03  00:55:00,29.5,10378.616533310787,0.0,80.6,60.8,80.54022594568069,60.8597740543193,79.03884721488106,79.03884721488106,1.0,0.0,0.0,9904.0,79.03884721488106,0.0,4473.337672175376,53244.41290840564,0.0 
 07/03  01:00:00,29.4,995.1111263501852,0.0,80.6,60.8,80.53137186534414,60.86862813465585,79.30574972660057,79.30574972660057,1.0,0.0,0.0,1260.0,79.30574972660057,0.0,4411.232435685295,53181.33140024672,0.0 
 07/03  01:05:00,29.216666666666666,966.2839716424642,0.0,80.6,60.8,80.5305592241518,60.86944077584819,79.55053114094067,79.55053114094067,1.0,0.0,0.0,1260.0,79.55053114094067,0.0,0.000007433686004381184,48768.20605153992,0.0 
 07/03  01:10:00,29.03333333333333,0.0,0.0,80.6,60.8,80.53068886655967,60.86931113344031,79.74848872041143,79.74848872041143,0.0,0.0,0.0,0.0,79.74848872041143,0.0,0.000007442074020397813,48766.172801151886,0.0 
 07/03  01:15:00,28.849999999999999,0.0,0.0,80.6,60.8,80.50635752340722,60.893642476592798,79.84836901577578,79.84836901577578,0.0,0.0,0.0,0.0,79.84836901577578,0.0,0.000007451683236212512,48763.79471787942,0.0 
 07/03  01:20:00,28.666666666666669,0.0,0.0,80.6,60.8,80.52528222093693,60.874717779063079,79.91641807898513,79.91641807898513,0.0,0.0,0.0,0.0,79.91641807898513,0.0,0.0000074623288018643969,48761.34867986112,0.0 
 07/03  01:25:00,28.483333333333336,0.0,0.0,80.6,60.8,80.50067840233646,60.899321597663547,79.96182274112164,79.96182274112164,0.0,0.0,0.0,0.0,79.96182274112164,0.0,0.000007473855992967114,48758.856292507924,0.0 
 07/03  01:30:00,28.299999999999998,0.0,0.0,80.6,60.8,80.49779661485951,60.902203385140499,79.98986674934082,79.98986674934082,0.0,0.0,0.0,0.0,79.98986674934082,0.0,0.000007486135096095368,48756.31689954512,0.0 
 07/03  01:35:00,28.116666666666668,0.0,0.0,80.6,60.8,80.51335047973342,60.88664952026661,80.00496302062644,80.00496302062644,0.0,0.0,0.0,0.0,80.00496302062644,0.0,0.000007499057229251791,48753.7372758667,0.0 
 07/03  01:40:00,27.933333333333335,0.0,0.0,80.6,60.8,80.49446616388735,60.905533836112649,80.01030818700345,80.01030818700345,0.0,0.0,0.0,0.0,80.01030818700345,0.0,0.000007512530907435853,48750.845208114624,0.0 
 07/03  01:45:00,27.75,0.0,0.0,80.6,60.8,80.49212636578794,60.90787363421205,80.0081310771794,80.0081310771794,0.0,0.0,0.0,0.0,80.0081310771794,0.0,0.000007526479206950929,48747.60633112192,0.0 
 07/03  01:50:00,27.566666666666668,0.0,0.0,80.6,60.8,80.49586388467307,60.90413611532692,80.00006121472708,80.00006121472708,0.0,0.0,0.0,0.0,80.00006121472708,0.0,0.0000075408374144646448,48744.35717625457,0.0 
 07/03  01:55:00,27.383333333333334,0.0,0.0,80.6,60.8,80.49001138114849,60.909988618851517,79.98747312849832,79.98747312849832,0.0,0.0,0.0,0.0,79.98747312849832,0.0,0.000007555551071155235,48741.1130474467,0.0 
